iteration,episode_reward,smoothed_reward,episode_length,elapsed_time,best_reward
422,-1620,-1929.8949986470445,99,2000.4894728660583,-540
423,-1935,-1930.4054987823401,99,2005.3668327331543,-540
424,-2320,-1969.364948904106,99,2010.0870852470398,-540
425,-1255,-1897.9284540136955,99,2014.755343914032,-540
426,-1285,-1836.635608612326,99,2019.3635070323944,-540
427,-2125,-1865.4720477510934,99,2023.7987279891968,-540
428,-2180,-1896.9248429759841,99,2028.3117899894714,-540
429,-1210,-1828.2323586783857,99,2033.475198507309,-540
430,-1175,-1762.9091228105472,99,2038.5973358154297,-540
431,-2190,-1805.6182105294924,99,2042.8293747901917,-540
432,-1390,-1764.0563894765432,99,2047.9132993221283,-540
433,-2185,-1806.150750528889,99,2052.304785966873,-540
434,-1755,-1801.035675476,99,2057.268192768097,-540
435,-2510,-1871.9321079284,99,2061.8449714183807,-540
436,-1830,-1867.7388971355601,99,2066.6980056762695,-540
437,-2060,-1886.9650074220042,99,2071.156640768051,-540
438,-3080,-2006.2685066798037,99,2075.726217985153,-540
439,-2745,-2080.141656011823,99,2080.1922392845154,-540
440,-1670,-2039.127490410641,99,2084.596351623535,-540
441,-1380,-1973.214741369577,99,2088.8679757118225,-540
442,-1980,-1973.8932672326193,99,2093.175052165985,-540
443,-910,-1867.5039405093573,99,2098.7932505607605,-540
444,-1355,-1816.2535464584216,99,2103.663840532303,-540
445,-1945,-1829.1281918125794,99,2108.4976336956024,-540
446,-2450,-1891.2153726313215,99,2113.3326671123505,-540
447,-1840,-1886.0938353681895,99,2118.3395924568176,-540
448,-960,-1793.4844518313705,99,2123.201921224594,-540
449,-1710,-1785.1360066482334,99,2127.338008403778,-540
450,-1270,-1733.62240598341,99,2132.034323453903,-540
451,-2545,-1814.760165385069,99,2136.583722114563,-540
452,-1790,-1812.2841488465622,99,2140.9539771080017,-540
453,-1955,-1826.555733961906,99,2145.709597826004,-540
454,-1840,-1827.9001605657154,99,2150.258786916733,-540
455,-1655,-1810.610144509144,99,2154.6493141651154,-540
456,-835,-1713.0491300582296,99,2158.978991508484,-540
457,-2325,-1774.2442170524066,99,2163.3788154125214,-540
458,-2510,-1847.819795347166,99,2168.363873720169,-540
459,-1250,-1788.0378158124495,99,2173.3226470947266,-540
460,-3235,-1932.7340342312045,99,2178.442819595337,-540
461,-1395,-1878.960630808084,99,2183.5865066051483,-540
462,-2885,-1979.5645677272757,99,2187.842913389206,-540
463,-1420,-1923.6081109545482,99,2191.857503414154,-540
464,-1145,-1845.7472998590933,99,2196.227887392044,-540
465,-2000,-1861.172569873184,99,2201.077029943466,-540
466,-2630,-1938.0553128858658,99,2205.8952243328094,-540
467,-1580,-1902.2497815972793,99,2210.7848358154297,-540
468,-2120,-1924.0248034375513,99,2215.2361764907837,-540
469,-1380,-1869.6223230937962,99,2219.3128407001495,-540
470,-2320,-1914.6600907844168,99,2223.768082857132,-540
471,-1055,-1828.6940817059751,99,2228.6547770500183,-540
472,-2040,-1849.8246735353775,99,2233.759933233261,-540
473,-1740,-1838.8422061818399,99,2238.2716488838196,-540
474,-2035,-1858.457985563656,99,2243.0060460567474,-540
475,-2940,-1966.6121870072905,99,2247.627135515213,-540
476,-1485,-1918.4509683065614,99,2251.969886779785,-540
